"age","metallicity","velocity","Rgal","zgal","ecc"
1.33,-0.07,50.527,8.022,0.023,0.13
12.78,-0.34,82.644,7.99,-0.019,0.26
1.33,0.11,25.515,7.997,0.028,0.06
1.94,-0.01,37.43,8.036,0.04,0.08
2,0.18,27.35,7.944,0.031,0.09
1.62,-0.04,9.11,7.983,-0.047,0.02
2.25,0.13,33.541,7.953,0.037,0.06
2.61,0.02,43.6,7.946,0.004,0.1
3.56,-0.03,29.223,7.961,0.015,0.09
3.59,0.09,32.465,7.987,0.019,0.11
3.66,-0.34,25.475,8.037,0.005,0.11
7.47,-0.11,41.821,8.026,0.003,0.1
1.8,0.07,47.686,7.962,0.04,0.17
1.39,-0.13,32.894,8.033,-0.015,0.09
4.81,0.01,13.638,7.977,0.078,0.07
1.43,-0.14,41.785,7.955,-0.015,0.09
7.39,-0.21,75.756,7.979,0.013,0.19
3.66,-0.28,30.332,7.979,-0.019,0.1
1.84,-0.09,19.95,8,0.024,0.05
11.75,-0.39,183.937,7.988,0.004,0.7
1.57,0.09,38.756,7.928,0.011,0.08
2.36,0.11,36.455,8.082,-0.057,0.12
1.66,0.11,28.74,7.943,0.052,0.06
1.82,0.11,33.66,7.971,-0.078,0.07
3.17,-0.17,22.383,8.104,0.039,0.11
5.11,-0.2,39.699,7.968,-0.005,0.04
1.57,0.14,50.99,8.006,0.018,0.17
3.64,-0.42,52.811,8.032,-0.045,0.16
1.3,0.06,17.916,7.971,0.107,0.07
2.92,-0.22,46.043,8.06,0.081,0.17
1.48,-0.04,19.105,8.024,-0.044,0.03
2.1,-0.12,27.857,8.079,-0.001,0.08
1.81,0.16,57.044,8.03,-0.027,0.14
1,0.18,59.975,7.96,-0.045,0.2
6.54,-0.26,99.101,7.969,0.023,0.3
6.54,-0.03,74.679,8.038,-0.05,0.18
1.93,0.08,30.232,7.958,0.041,0.08
8.49,-0.23,40.62,7.992,0.027,0.09
1.28,0.07,25.671,8.059,-0.065,0.06
5.45,0.13,63.984,8.029,-0.042,0.22
3.3,-0.24,48.301,8.098,0.047,0.14
8.45,-0.05,198.63,8.011,-0.04,0.53
