"longseq","regne","repliement","isoelec","poidsmol","hydro","genre"
154,"Viridiplantae","-0.2425203","6.4800000","16652.4004","-1.4383117","Ammopiptanthus"
95,"Viridiplantae","0.0776717","9.8999996","10210.7998","-0.4273684","Arachis"
158,"Viridiplantae","-0.0782973","9.6599998","15960.7803","-0.9721519","Triticum"
150,"Viridiplantae","-0.1206509","10.0500002","15164.9102","-1.0626667","Triticum"
176,"Viridiplantae","0.1314951","6.4499998","19209.3594","-0.3187500","Pennisetum"
575,"Viridiplantae","-0.1354813","6.7199998","58560.9102","-1.1620870","Hordeum"
256,"Viridiplantae","0.1085112","5.2700000","26829.6094","-0.3414062","Arabidopsis"
113,"Viridiplantae","0.0633479","10.5799999","12284.5498","-0.4327434","Glycine"
165,"Viridiplantae","0.2059578","4.4299998","17397.0195","0.0418182","Salvia"
147,"Viridiplantae","0.2000471","5.7399998","15931.3896","-0.0680272","Euphorbia"
151,"Viridiplantae","0.1862513","4.9099998","16882.6406","-0.0715232","Pseudotsuga"
344,"Viridiplantae","0.0635086","4.8499999","38455.5586","-0.4343023","Sesuvium"
105,"Viridiplantae","0.0865028","9.6700001","11365.1904","-0.4085714","Gossypium"
160,"Viridiplantae","0.1347133","4.4200001","17637.4902","-0.1431250","Solanum"
195,"Viridiplantae","0.0576510","9.3900003","19101.7500","-0.5610256","Daucus"
151,"Metazoa","0.0668369","8.8500004","16129.0498","-0.5430464","Ixodes"
96,"Metazoa","0.1189291","8.1899996","9897.5000","-0.3625000","Ixodes"
174,"Viridiplantae","0.1883546","4.9099998","18839.8301","-0.0045977","Arabidopsis"
178,"Viridiplantae","-0.0486933","8.6099997","18175.3594","-0.9196629","Triticum"
169,"Viridiplantae","-0.0686045","5.3299999","17515.4102","-0.9639053","Triticum"
177,"Viridiplantae","-0.0064930","4.6900001","18327.8809","-0.7101695","Triticum"
225,"Viridiplantae","-0.3230673","4.9699998","25553.4902","-1.5946667","Populus"
225,"Viridiplantae","-0.3314066","4.8600001","25554.4297","-1.5928890","Populus"
225,"Viridiplantae","-0.3422731","4.8699999","25725.6191","-1.6280000","Populus"
228,"Viridiplantae","-0.3339926","4.8200002","25790.9004","-1.6035242","Populus"
226,"Viridiplantae","-0.3321081","4.7300000","25662.5996","-1.5676991","Populus"
227,"Viridiplantae","-0.3343525","4.7300000","25776.7207","-1.5762115","Populus"
227,"Viridiplantae","-0.3339002","4.7700000","25822.8105","-1.5889868","Populus"
227,"Viridiplantae","-0.3313102","4.7700000","25804.7695","-1.5806167","Populus"
227,"Viridiplantae","-0.3293076","4.7300000","25691.6602","-1.5599118","Populus"
227,"Viridiplantae","-0.3252683","4.8200002","25764.7793","-1.5753304","Populus"
227,"Viridiplantae","-0.3404105","4.6500001","25645.5391","-1.5659292","Populus"
227,"Viridiplantae","-0.3313102","4.7700000","25818.8008","-1.5806167","Populus"
182,"Metazoa","-0.1864836","8.6499996","19678.4395","-1.3653846","Artemia"
112,"Viridiplantae","-0.2230148","8.7299995","12160.0400","-1.4723214","Vigna"
100,"Viridiplantae","-0.2276740","10.2299995","11005.9199","-1.2900000","Quercus"
112,"Viridiplantae","-0.2317510","10.1099997","12271.3203","-1.3562500","Quercus"
112,"Viridiplantae","-0.2080951","8.7299995","12176.0801","-1.4241071","Vigna"
144,"Viridiplantae","-0.1060996","9.4399996","14445.7998","-1.0784723","Lindernia"
151,"Viridiplantae","0.2605800","5.4699998","16189.9805","0.1258278","Lindernia"
242,"Viridiplantae","-0.1742525","6.1599998","25388.4004","-1.2367769","Glycine"
140,"Bacteria","0.0405371","4.6599998","14790.3301","-0.4878571","Solibacter"
102,"Bacteria","0.0493823","8.7500000","10880.7402","-0.5892157","Solibacter"
412,"Bacteria","0.1374072","5.9099998","42640.9297","-0.3128641","Rhodopseudomonas"
204,"Bacteria","0.0606393","6.5500002","21607.5898","-0.5686275","Rhodopseudomonas"
112,"Viridiplantae","-0.1560562","6.3600001","11530.1396","-1.1982143","Triticum"
507,"Viridiplantae","0.0122584","9.4700003","47880.8984","-0.7153846","Hordeum"
137,"Viridiplantae","-0.2154832","5.6999998","14725.0195","-1.3824818","Sorghum"
183,"Viridiplantae","-0.1769110","5.8000002","18414.0195","-1.2109290","Ammopiptanthus"
93,"Viridiplantae","0.1142096","10.4200001","9947.6201","-0.2376344","Prosopis"
229,"Viridiplantae","-0.1944518","6.7399998","24197.3594","-1.3947598","Malus"
103,"Viridiplantae","0.0599378","8.1800003","11258.8701","-0.5553398","Tamarix"
246,"Viridiplantae","-0.0986323","7.0200000","26222.3496","-1.0991870","Sporobolus"
97,"Viridiplantae","0.1477230","9.7500000","10570.4502","-0.2030928","Citrus"
468,"Viridiplantae","-0.1069834","5.5599999","50646.7383","-1.0916667","Phaseolus"
163,"Viridiplantae","-0.1305099","9.1999998","17028.0508","-1.1625767","Catharanthus"
137,"Viridiplantae","-0.3083234","6.6199999","15151.5498","-1.6824818","Citrus"
163,"Viridiplantae","-0.2844151","6.7199998","17668.8496","-1.6797546","Ginkgo"
285,"Viridiplantae","-0.0963596","4.9400001","30998.7207","-0.9217544","Triticum"
358,"Viridiplantae","-0.1321166","5.1999998","38833.0703","-1.1622905","Pisum"
124,"Viridiplantae","-0.2478492","9.4300003","13232.4004","-1.5032258","Vitis"
108,"Viridiplantae","-0.0257035","5.2500000","11207.1201","-0.8037037","Chlamydomonas"
159,"Viridiplantae","-0.0214875","8.8000002","16153.0996","-0.8295597","Brassica"
159,"Viridiplantae","-0.0194060","9.4700003","16211.2998","-0.8025157","Brassica"
227,"Viridiplantae","-0.1050407","9.7399998","22743.1094","-1.0629956","Triticum"
95,"Viridiplantae","-0.3546825","7.1300001","10533.8301","-1.8926316","Brassica"
148,"Bacteria","0.2650025","8.8299999","16289.0498","0.1195946","Bdellovibrio"
271,"Viridiplantae","-0.3094048","4.7800002","31010.1191","-1.4940959","Brassica"
554,"Viridiplantae","-0.1734965","5.5700002","59171.4609","-1.2303249","Physcomitrella"
183,"Viridiplantae","-0.0853027","6.7900000","19181.5898","-1.0207649","Brassica"
242,"Viridiplantae","-0.1721185","6.0700002","25279.2305","-1.2165289","Glycine"
226,"Viridiplantae","-0.2140015","5.9099998","23737.1309","-1.3433628","Glycine"
242,"Viridiplantae","-0.1672666","6.3200002","25555.6309","-1.2409091","Glycine"
226,"Viridiplantae","-0.2102607","6.0200000","23791.2598","-1.3455752","Glycine"
183,"Viridiplantae","-0.0853027","6.7900000","19181.5898","-1.0207649","Brassica"
95,"Viridiplantae","-0.2253500","7.4800000","10378.2803","-1.4747368","Pinus"
95,"Viridiplantae","-0.2733302","8.7700005","10935.0498","-1.4936842","Pinus"
95,"Viridiplantae","-0.2608573","7.6999998","10526.3896","-1.5894737","Pinus"
93,"Viridiplantae","-0.3058124","8.5799999","10318.1104","-1.6645161","Pinus"
93,"Viridiplantae","-0.2665469","8.1700001","10156.0098","-1.5376344","Pinus"
163,"Viridiplantae","-0.0738201","7.1399999","16981.0703","-1.0190184","Daucus"
181,"Viridiplantae","0.1779220","4.7500000","20138.2793","-0.0983425","Arabidopsis"
324,"Viridiplantae","0.0827112","4.4400001","35911.6797","-0.3037037","Arabidopsis"
182,"Viridiplantae","0.1989043","4.9000001","20017.0898","-0.0489011","Arabidopsis"
230,"Viridiplantae","-0.2609854","6.8600001","25876.1992","-1.5817391","Pistacia"
178,"Viridiplantae","0.1773157","4.5799999","19730.6699","-0.0803371","Brassica"
222,"Viridiplantae","-0.3651549","10.2900000","25633.4102","-1.6693695","Pinus"
259,"Viridiplantae","-0.1465673","6.0100002","26470.6191","-1.1667954","Vigna"
200,"Viridiplantae","-0.1032092","5.8200002","20514.9395","-1.0655000","Oryza"
167,"Viridiplantae","0.1561106","4.3299999","18384.4004","-0.1017964","Brassica"
143,"Viridiplantae","-0.2333782","6.1399999","16372.9805","-1.2860140","Mesembryanthemum"
166,"Viridiplantae","-0.0770671","9.7500000","17322.3301","-0.9710843","Glycine"
139,"Viridiplantae","-0.1244510","10.1000004","14241.8096","-1.0431654","Hordeum"
153,"Viridiplantae","-0.1615047","9.3100004","15923.3398","-1.2601306","Pseudotsuga"
164,"Viridiplantae","-0.1720810","9.5600004","17012.6797","-1.2774390","Pseudotsuga"
164,"Viridiplantae","-0.1591319","8.6599998","17013.6191","-1.2750000","Pseudotsuga"
468,"Viridiplantae","-0.1700069","6.4499998","49472.5391","-1.2677350","Prunus"
165,"Viridiplantae","-0.0857510","7.6399999","16673.5000","-1.0575758","Oryza"
320,"Viridiplantae","0.1886517","6.3200002","34763.1719","-0.1506250","Picea"
239,"Viridiplantae","0.0721903","7.8200002","26278.0098","-0.5200837","Picea"
152,"Viridiplantae","-0.1342239","3.8099999","16689.2598","-0.6401316","Picea"
197,"Viridiplantae","0.0689704","6.1900001","22485.2793","-0.5411168","Picea"
175,"Viridiplantae","-0.0472440","5.7199998","19130.3594","-0.8222857","Picea"
